1,jsPath,controllerId,eventId,url,app,sg,so,webControllerJs
18,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimAccept,http//192.1.4.24614000/FS/IC/SearchExpenseList?action=SO,FS,IC,SearchExpenseListSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
19,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,tester01,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
20,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimSettleDo,http//192.1.4.24614000/FS/IC/SettleExpense?action=SO,FS,IC,SettleExpenseSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
21,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimMain,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
22,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimSettleDo,http//192.1.4.24614000/FS/IC/SearchExpenseList?action=SO,FS,IC,SearchExpenseListSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
23,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimMain2,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
24,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimInsert,http//192.1.4.24614000/FS/IC/InsertExpense?action=SO,FS,IC,InsertExpenseSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
25,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimMain5,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
26,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimList,http//192.1.4.24614000/FS/DOC/ReadCode?action=SO,FS,DOC,ReadCodeSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
27,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimDeny,http//192.1.4.24614000/FS/IC/SettleExpenseDetail?action=SO,FS,IC,SettleExpenseDetailSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
28,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimView,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
29,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimViewUpdate,http//192.1.4.24614000/FS/IC/ReadAllExpenseIn?action=SO,FS,IC,ReadAllExpenseInSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
30,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimViewUpdate,http//192.1.4.24614000/FS/IC/ReadExpenseDetailList?action=SO,FS,IC,ReadExpenseDetailListSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
31,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimMain3,,,,,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
32,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'inter', 'logic', 'ic', 'expenseclaim.js']",FI_1Q_TOPLogic,expenseClaimAddKindDo,http//192.1.4.24614000/FS/IC/SettleExpenseDetail?action=SO,FS,IC,SettleExpenseDetailSO,src/com/tmax/fi/inter/logic/ic/expenseclaim.js
33,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'context.js']",ContextLayout,onWidgetAttach,${FsPo}COA/ReadNonLeafDocCoa?action=SO,FS,COA,ReadNonLeafDocCoaSO,src/com/tmax/fi/js/transaction/context.js
34,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'context.js']",FI_1Q_TOPLogic,readContext,${FsPo}COA/ReadNonLeafDocCoa?action=SO,FS,COA,ReadNonLeafDocCoaSO,src/com/tmax/fi/js/transaction/context.js
35,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'context.js']",ContextLayout,onWidgetAttach,${FsPo}TRANSACTION/ReadContext?action=SO,FS,TRANSACTION,ReadContextSO,src/com/tmax/fi/js/transaction/context.js
36,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",FI_1Q_TOPLogic,endMonthEntered,,,,,src/com/tmax/fi/js/transaction/transaction.js
37,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",TransactionLayout,onWidgetAttach,${FsPo}TRANSACTION/ReadAllTransaction?action=SO,FS,TRANSACTION,ReadAllTransactionSO,src/com/tmax/fi/js/transaction/transaction.js
38,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",FI_1Q_TOPLogic,startYearEntered,,,,,src/com/tmax/fi/js/transaction/transaction.js
39,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",FI_1Q_TOPLogic,openContextDialog,,,,,src/com/tmax/fi/js/transaction/transaction.js
40,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",FI_1Q_TOPLogic,readTransactionButton,${FsPo}TRANSACTION/ReadAllTransaction?action=SO,FS,TRANSACTION,ReadAllTransactionSO,src/com/tmax/fi/js/transaction/transaction.js
41,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",FI_1Q_TOPLogic,startMonthEntered,,,,,src/com/tmax/fi/js/transaction/transaction.js
42,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",FI_1Q_TOPLogic,startDayEntered,,,,,src/com/tmax/fi/js/transaction/transaction.js
43,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fi', 'js', 'transaction', 'transaction.js']",FI_1Q_TOPLogic,readContextButton,${FsPo}TRANSACTION/ReadContext?action=SO,FS,TRANSACTION,ReadContextSO,src/com/tmax/fi/js/transaction/transaction.js
