1,jsPath,controllerId,eventId,url,app,sg,so
24,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,error,,,,
25,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'Doc.js']",DocjlLayoutLogic,readDocumentUpdatable,,,,
26,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,changeDate,,,,
27,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,copyDocument,${FsPo}KH/CopyGeneralDoc?action=SO,http://192.168.156.156:14000/FS/,KH,CopyGeneralDocSO
28,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,error,,,,
29,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,readDocument,${FsPo}KH/ReadGeneralDocument?action=SO,http://192.168.156.156:14000/FS/,KH,ReadGeneralDocumentSO
30,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,success,,,,
31,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,copyDocument,${FsPo}KH/CopySalesDoc?action=SO,http://192.168.156.156:14000/FS/,KH,CopySalesDocSO
32,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,readDocument,${FsPo}KH/ReadSingleSalesDocument?action=SO,http://192.168.156.156:14000/FS/,KH,ReadSingleSalesDocumentSO
33,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,changeDocSalesProduct,,,,
34,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,asdf,,,,
35,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,changeJournalCopy,,,,
36,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",FI_1Q_TOPLogic,closeDocCopyLayoutDialog,,,,
37,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",DocCopyLayoutLogic,changeAbstract,,,,
38,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocDebitCredit.js']",DocjlCheckDebitCreditLayoutLogic,closeDialog,,,,
39,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocDebitCredit.js']",DocjlCheckDebitCreditLayoutLogic,continueToInsertOrUpdate,,,,
40,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,moveDocument,${FsPo}KH/MoveGeneralDoc?action=SO,http://192.168.156.156:14000/FS/,KH,MoveGeneralDocSO
41,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,changeDocSalesProduct,,,,
42,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,success,,,,
43,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,error,,,,
44,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,readDocument,${FsPo}KH/ReadSingleSalesDocument?action=SO,http://192.168.156.156:14000/FS/,KH,ReadSingleSalesDocumentSO
45,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocMove.js']",DocMoveLayoutLogic,moveDocument,${FsPo}KH/MoveSalesDoc?action=SO,http://192.168.156.156:14000/FS/,KH,MoveSalesDocSO
