xmlPath,parentObject,widget,controller,event,jsPath,url,app,sg,so,matching
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2_1', 'LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_1_9,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2', 'LinearLayout956_2', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_9,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout429', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout129,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth1_1,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2_1', 'LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_1_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_11,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_12_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2', 'LinearLayout956_2', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_3,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_10_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout974,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout956_2,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1011_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth1_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2_1', 'LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_1_10,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",ImageView105_2_1,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_12,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['PFSLayout', 'MainFI_1Q_TOPLayout']",LayoutMain,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['PFSLayout', 'MainFI_1Q_TOPLayout']",StatusBar,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_8,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
