1,xmlPath,parentWidget,widgetID,controllerId,eventId,jsPath,url,app,sg,so
17,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout20', 'DocCopyLayout']",TableViewDocCopyMove,DocCopyLayoutLogic,readDocument,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",${FsPo}KH/ReadSingleSalesDocument?action=SO,http://192.168.156.156:14000/FS/,KH,ReadSingleSalesDocumentSO
18,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout20', 'DocCopyLayout']",TableViewDocCopyMove,DocCopyLayoutLogic,readDocument,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docjl', 'DocCopy.js']",${FsPo}KH/ReadSingleSalesDocument?action=SO,http://192.168.156.156:14000/FS/,KH,ReadSingleSalesDocumentSO
19,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget786891b6275932fe832d3ce735536430,DocCopyLayoutLogic,,[],,,,
20,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetf5e92406b30c38dcaeb182802bdb58a4,DocCopyLayoutLogic,,[],,,,
21,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetca03a315c2234f5a1bbc7c586a3d40f,DocCopyLayoutLogic,,[],,,,
22,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetca03a3135c2234f5a1bbc7c586a3d40f,DocCopyLayoutLogic,,[],,,,
23,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetca03a3135c2234f5a1bbc7c586a3d40,DocCopyLayoutLogic,,[],,,,
24,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetf788fd85d8d23705aed4fd7fbefbd990,DocCopyLayoutLogic,,[],,,,
25,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetdeef55189c6e3e91b566d321d1086b42,DocCopyLayoutLogic,,[],,,,
26,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widgetf5e92406b30c38dcaeb182802bdb58a4', 'Widget786891b6275932fe832d3ce735536430', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget31ba235e108b367a918e066d84c4a74e,DocCopyLayoutLogic,,[],,,,
